NetbiosName,Name,Manufacturer,Family,CPUKey
WFS0644A,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,GenuineIntel,2,000106A4
WFS0644A,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,GenuineIntel,2,000106A4
WFS0644A,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,GenuineIntel,2,000106A4
WFS0644A,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,GenuineIntel,2,000106A4
WFS0643A,Intel(R) Xeon(R) CPU E7-4850 v2 @ 2.30GHz,GenuineIntel,2,000106A4
WFS0643A,Intel(R) Xeon(R) CPU E7-4850 v2 @ 2.30GHz,GenuineIntel,2,000106A4
WFS0643A,Intel(R) Xeon(R) CPU E7-4850 v2 @ 2.30GHz,GenuineIntel,2,000106A4
WFS0643A,Intel(R) Xeon(R) CPU E7-4850 v2 @ 2.30GHz,GenuineIntel,2,000106A4
WFS0706A,Intel(R) Xeon(R) CPU E7-4850 v2 @ 2.30GHz,GenuineIntel,2,000106A4
WFS0706A,Intel(R) Xeon(R) CPU E7-4850 v2 @ 2.30GHz,GenuineIntel,2,000106A4
WFS0670A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0670A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0670A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0670A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0671A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0671A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0671A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0671A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0673A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0673A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0673A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0673A,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,GenuineIntel,2,000306E4
WFS0668A,Intel(R) Xeon(R) CPU E5-2407 v2 @ 2.40GHz,GenuineIntel,179,000306E4
WFS0667A,Intel(R) Xeon(R) CPU E5-2407 v2 @ 2.40GHz,GenuineIntel,179,000306E4
WFS0666A,Intel(R) Xeon(R) CPU E5-2407 v2 @ 2.40GHz,GenuineIntel,179,000306E4
WFS0674A,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,GenuineIntel,2,00050654
WFS0676A,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,GenuineIntel,2,000306F2
WFS0676A,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,GenuineIntel,2,000306F2
WFS0676A,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,GenuineIntel,2,000306F2
WFS0676A,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,GenuineIntel,2,000306F2
WFS0677A,Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,GenuineIntel,2,00050654
WFS0680A,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,GenuineIntel,2,00050654
WFS0681A,Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz,GenuineIntel,2,00050654
WFS0686A,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,GenuineIntel,2,00050654
WFS0687A,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,GenuineIntel,2,00050654
WFS0672A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
WFS0672A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
WFS0672A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
WFS0672A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
B5472726,Intel(R) Xeon(R) CPU E3-1276 v3 @ 3.60GHz,GenuineIntel,179,000306C3
B5493169-OLD,Intel(R) Core(TM) i7-4712MQ CPU @ 2.30GHz,GenuineIntel,198,000306C3
WFS0675A,Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz,GenuineIntel,2,00050654
WFS0678A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
WFS0678A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
WFS0678A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
WFS0678A,Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz,GenuineIntel,2,000306E4
B5383108,Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz,GenuineIntel,206,000306A9
B8601209,Intel(R) Core(TM) i3-4100M CPU @ 2.50GHz,GenuineIntel,206,000306C3
B8601253,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,GenuineIntel,205,000306A9
B8601287-OLD,Intel(R) Core(TM) i3-4100M CPU @ 2.50GHz,GenuineIntel,206,000306C3
B8601193,Intel(R) Core(TM) i3-4100M CPU @ 2.50GHz,GenuineIntel,206,000306C3
B5767002,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,GenuineIntel,205,00040651
B7701005,Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,GenuineIntel,206,000306C3
B5553214-OLD,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,GenuineIntel,206,000306C3
B5553234-OLD,Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,GenuineIntel,206,000306C3
B5553241,Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz,GenuineIntel,205,000506E3
B5552070-OLD,Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,GenuineIntel,206,000306C3
B7601012,Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz,GenuineIntel,206,000306C3
B7701012-OLD,Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz,GenuineIntel,206,000306C3
